尽量啦 (jǐn liàng la)	儘量啦
兴奋 (xīng fèn)	興奮
甜品 (tián pǐn)	甜品
主要 (zhǔ yào)	主要
沟通 (gōu tōng)	溝通
唔错 (wú cuò)	唔錯
圈子 (quān zǐ)	圈子
参加 (cān jiā)	參加
教练 (jiào liàn)	教練
全部 (quán bù)	全部
主动 (zhǔ dòng)	主動
介绍 (jiè shào)	介紹
认识 (rèn shi)	認識
省钱 (shěng qián)	省錢
你说的算 (nǐ shuō de suàn)	你說的算
我可能来不及 (wǒ kě néng lái bù jí)	我可能來不及
不醉 (bù zuì)	不醉
比你无关 (bǐ nǐ wú guān)	比你無關
早点睡 (zǎo diǎn shuì)	早點睡
确实 (què shí)	確實
现在几点 (xiàn zài jī diǎn)	現在幾點
Tell time (Tell time)	Tell time
星期一 (xīng qī yī)	星期一
最近怎么样? (zuì jìn zěn me yáng ?)	最近怎麼樣?
等我一会儿 (děng wǒ yī huì ér)	等我一會兒
祝你好运 (zhù nǐ hǎo yùn)	祝你好運
对不起 (duì bù qǐ)	對不起
是我的错 (shì wǒ de cuò)	是我的錯
解决问题 (jiě jué wèn tí)	解決問題
刚才 (gāng cái)	剛纔
明白吗 (míng bái ma)	明白嗎
清楚 (qīng chǔ)	清楚
自己 (zì jǐ)	自己
讨厌 (tǎo yàn)	討厭
对 (duì)	對
冷静 (lěng jìng)	冷靜
害怕 (hài pà)	害怕
紧张 (jǐn zhāng)	緊張
我想过 (wǒ xiǎng guò)	我想過
真是好幸运 (zhēn shì hǎo xìng yùn)	真是好幸運
不幸的 (bù xìng de)	不幸的
教养 (jiào yǎng)	教養
真是想不到 (zhēn shì xiǎng bù dào)	真是想不到
天哪 (tiān nǎ)	天哪
聊天 (liáo tiān)	聊天
上班 (shàng bān)	上班
好的 (hǎo de)	好的
为什么 (wèi shén me)	為什麼
没事 (méi shì)	沒事
不用不用谢 (bù yòng bù yòng xiè)	不用不用謝
好久不见 (hǎo jiǔ bù jiàn)	好久不見
评委 (píng wěi)	評委
我好想你 (wǒ hǎo xiǎng nǐ)	我好想你
小意思而已 (xiǎo yì sī ér yǐ)	小意思而已
搞定这个事 (gǎo dìng zhè gè shì)	搞定這個事
可惜的 (kě xī de)	可惜的
幽默 (yōu mò)	幽默
工作 (gōng zuò)	工作
请再说一次 (qǐng zài shuō yī cì)	請再說一次
你说了什么? (nǐ shuō le shén me ?)	你說了什麼?
午饭 (wǔ fàn)	午飯
