總括嚟講 (zung2 kut3 __ gong2)	Overall	旅行	 (leoi5 hang6)
漢堡包 (hon3 bou2 baau1)	a	结婚	 (git3 fan1)
飽哂啦 (baau2 can2 laa1)	b	意見	意见 (ji3 gin3)
最後一啖 (zeoi3 hau6 jat1 __)	Last bite	習慣	习惯 (zaap6 gwaan3)
塊肉餅 (faai3 juk6 bing2)	Paddy	貼紙	 (tip3 zi2)
多多指教 (do1 do1 zi2 gaau3)	Give advice	成為	 (sing4 wai6)
瞌吓 (hap6 haak3)	Take a nap		 ()
專登 (zyun1 dang1)	专门		 ()
即係唔可以 (zik1 hai6 __ ho2 ji5)	就是不能		 ()
發覺 (faat3 gok3)	s		 ()
狗仔 (gau2 zai2)	e		 ()
扯大纜 (ce2 daai6 laam6)	Tug of war		 ()
瞓晏覺 (__ aan3 gok3)	s		 ()
投訴 (tau4 sou3)	Complaints		 ()
雞肉 (gai1 juk6)	Chicken		 ()
